"Plant.species" "Grasshopper.species" "Herbivory" "G.Body.size.mm" "G.Incisive.strength" "G.Carbon.nitrogen.ratio" "G.Species.name" "P.Leaf.dry.matter.content" "P.Leaf.nitrogen.content.dry.mass" "P.Leaf.carbon.content.dry.mass" "P.Leaf.carbon.nitrogen.ratio" "P.Leaf.thickness.mm" "P.Leaf.area.cm" "P.Perimeter.leaf.lenght.ratio" "P.Species.name"
"25" "DACGLO" "Ee" 50.2544642857 14.37 0.11 4.04 "Euchorthippus elegantulus" 28.4726843319 2.58315133 44.5695516367 17.2539452563 0.1543875253 16.277517021 2.0734284736 "Dactylis glomerata "
"26" "DACGLO" "Pp" 46.7113095238 14.51 0.08 3.82 "Pseudochorthippus parallelus" 28.4726843319 2.58315133 44.5695516367 17.2539452563 0.1543875253 16.277517021 2.0734284736 "Dactylis glomerata "
"27" "DAUCAR" "Cb" 0.5 14.69 0.09 4 "Chorthippus biguttulus" 19.0226626831 2.63534615 43.7008187875 16.5825725731 0.319422057 19.2027959771 3.8418512079 "Daucus  carota"
"28" "DAUCAR" "Pg" 24.1666666667 11.38 0.05 4.3 "Pezotettix giornae " 19.0226626831 2.63534615 43.7008187875 16.5825725731 0.319422057 19.2027959771 3.8418512079 "Daucus  carota"
"29" "DAUCAR" "Pp" 0 14.51 0.08 3.82 "Pseudochorthippus parallelus" 19.0226626831 2.63534615 43.7008187875 16.5825725731 0.319422057 19.2027959771 3.8418512079 "Daucus  carota"
"30" "DAUCAR" "Cd" 3.3333333333 15.76 0.1 4.13 "Chorthippus dorsatus" 19.0226626831 2.63534615 43.7008187875 16.5825725731 0.319422057 19.2027959771 3.8418512079 "Daucus  carota"
"31" "ELYREP" "Ci" 15.8333333333 18.25 0.06 3.85 "Calliptamus italicus" 34.6420188606 2.4396624 45.8751215375 18.803881036 0.1566951832 8.299086902 2.0715261711 "Elitrigia repens"
"32" "Esp" "Pg" 0 11.38 0.05 4.3 "Pezotettix giornae " 26.5315760963 1.8993369 44.0661697 23.2008179802 0.5441662648 38.0487708338 3.2826865023 "Erigeron sp."
"33" "Esp" "Ee" 0.8333333333 14.37 0.11 4.04 "Euchorthippus elegantulus" 26.5315760963 1.8993369 44.0661697 23.2008179802 0.5441662648 38.0487708338 3.2826865023 "Erigeron sp."
"34" "Esp" "Cd" 0 15.76 0.1 4.13 "Chorthippus dorsatus" 26.5315760963 1.8993369 44.0661697 23.2008179802 0.5441662648 38.0487708338 3.2826865023 "Erigeron sp."
"35" "Esp" "Ci" 42.5 18.25 0.06 3.85 "Calliptamus italicus" 26.5315760963 1.8993369 44.0661697 23.2008179802 0.5441662648 38.0487708338 3.2826865023 "Erigeron sp."
"36" "FESARU" "Pp" 65 14.51 0.08 3.82 "Pseudochorthippus parallelus" 28.8840163005 1.9835746545 43.4681124 21.9140289479 0.2071447728 18.1255284371 2.0633258902 "Festuca arundinacea"
"37" "FESRUB" "Cb" 27.8571428571 14.69 0.09 4 "Chorthippus biguttulus" 32.93092095 1.458284575 43.551428375 29.8648351094 0.2133070382 1.9127765614 2.0246768089 "Festuca rubra"
"38" "FESRUB" "Ee" 63.75 14.37 0.11 4.04 "Euchorthippus elegantulus" 32.93092095 1.458284575 43.551428375 29.8648351094 0.2133070382 1.9127765614 2.0246768089 "Festuca rubra"
"39" "FESRUB" "Pp" 34.3452380952 14.51 0.08 3.82 "Pseudochorthippus parallelus" 32.93092095 1.458284575 43.551428375 29.8648351094 0.2133070382 1.9127765614 2.0246768089 "Festuca rubra"
"40" "GALAPA" "Ci" 68.5714285714 18.25 0.06 3.85 "Calliptamus italicus" 16.0601206366 3.37309006 43.40476053 12.8679518655 0.2585987032 0.2932909261 2.1988645141 "Galium aparine"
"41" "GALAPA" "Ee" 0 14.37 0.11 4.04 "Euchorthippus elegantulus" 16.0601206366 3.37309006 43.40476053 12.8679518655 0.2585987032 0.2932909261 2.1988645141 "Galium aparine"
"42" "GALVER" "Ee" 0 14.37 0.11 4.04 "Euchorthippus elegantulus" 22.6397749713 2.8425179 45.3079639 15.939376811 0.2041964098 0.1602325953 1.8770599907 "Galium  verum"
"43" "GALVER" "Pg" 0 11.38 0.05 4.3 "Pezotettix giornae " 22.6397749713 2.8425179 45.3079639 15.939376811 0.2041964098 0.1602325953 1.8770599907 "Galium  verum"
"44" "GALVER" "Pp" 1.6666666667 14.51 0.08 3.82 "Pseudochorthippus parallelus" 22.6397749713 2.8425179 45.3079639 15.939376811 0.2041964098 0.1602325953 1.8770599907 "Galium  verum"
"45" "LEUVUL" "Cd" 0.625 15.76 0.1 4.13 "Chorthippus dorsatus" 16.9614766271 1.633263725 43.4434059 26.5991371969 0.3234811178 1.9062765022 2.5153062696 "Leucanthemun  vulgare"
"46" "ONOREP" "Cb" 65 14.69 0.09 4 "Chorthippus biguttulus" 17.2279299713 6.0832432 47.8783987 7.8705383175 0.139566441 2.46949375 2.5841495562 "Ononis  repens "
"47" "ONOREP" "Ci" 21.6666666667 18.25 0.06 3.85 "Calliptamus italicus" 17.2279299713 6.0832432 47.8783987 7.8705383175 0.139566441 2.46949375 2.5841495562 "Ononis  repens "
"48" "ONOREP" "Ee" 22.5 14.37 0.11 4.04 "Euchorthippus elegantulus" 17.2279299713 6.0832432 47.8783987 7.8705383175 0.139566441 2.46949375 2.5841495562 "Ononis  repens "
"49" "ONOREP" "Pg" 18.3333333333 11.38 0.05 4.3 "Pezotettix giornae " 17.2279299713 6.0832432 47.8783987 7.8705383175 0.139566441 2.46949375 2.5841495562 "Ononis  repens "
"50" "ONOREP" "Pp" 43.3333333333 14.51 0.08 3.82 "Pseudochorthippus parallelus" 17.2279299713 6.0832432 47.8783987 7.8705383175 0.139566441 2.46949375 2.5841495562 "Ononis  repens "
"51" "PICHIE" "Pp" 0 14.51 0.08 3.82 "Pseudochorthippus parallelus" 14.0123734617 2.4198219 41.7673082 17.2604885508 0.3352112033 22.4766666667 2.0119756623 "Picris  hieracioides"
"52" "PLALAN" "Pg" 36.4583333333 11.38 0.05 4.3 "Pezotettix giornae " 19.0734420105 1.8789942462 44.5405788346 23.7044785665 0.320441852 14.3685175001 1.6125125093 "Plantago  lanceolata"
"53" "PLALAN" "Cd" 9.3187830688 15.76 0.1 4.13 "Chorthippus dorsatus" 19.0734420105 1.8789942462 44.5405788346 23.7044785665 0.320441852 14.3685175001 1.6125125093 "Plantago  lanceolata"
"54" "PLALAN" "Ee" 4.9 14.37 0.11 4.04 "Euchorthippus elegantulus" 19.0734420105 1.8789942462 44.5405788346 23.7044785665 0.320441852 14.3685175001 1.6125125093 "Plantago  lanceolata"
"55" "PLALAN" "Cb" 10.9888888889 14.69 0.09 4 "Chorthippus biguttulus" 19.0734420105 1.8789942462 44.5405788346 23.7044785665 0.320441852 14.3685175001 1.6125125093 "Plantago  lanceolata"
"56" "PLALAN" "Ci" 40 18.25 0.06 3.85 "Calliptamus italicus" 19.0734420105 1.8789942462 44.5405788346 23.7044785665 0.320441852 14.3685175001 1.6125125093 "Plantago  lanceolata"
"57" "PLALAN" "Pp" 10 14.51 0.08 3.82 "Pseudochorthippus parallelus" 19.0734420105 1.8789942462 44.5405788346 23.7044785665 0.320441852 14.3685175001 1.6125125093 "Plantago  lanceolata"
"58" "POAANG" "Pg" 1.6666666667 11.38 0.05 4.3 "Pezotettix giornae " 36.33889678 1.3780638333 43.4213887333 31.5089821553 0.180563857 3.4221209064 2.0382031711 "Poa angustifolia"
"59" "POAANG" "Ee" 45 14.37 0.11 4.04 "Euchorthippus elegantulus" 36.33889678 1.3780638333 43.4213887333 31.5089821553 0.180563857 3.4221209064 2.0382031711 "Poa angustifolia"
"60" "POAANG" "Cd" 4.5833333333 15.76 0.1 4.13 "Chorthippus dorsatus" 36.33889678 1.3780638333 43.4213887333 31.5089821553 0.180563857 3.4221209064 2.0382031711 "Poa angustifolia"
"61" "POAANG" "Cb" 17.1428571429 14.69 0.09 4 "Chorthippus biguttulus" 36.33889678 1.3780638333 43.4213887333 31.5089821553 0.180563857 3.4221209064 2.0382031711 "Poa angustifolia"
"62" "POAANG" "Ci" 1.6666666667 18.25 0.06 3.85 "Calliptamus italicus" 36.33889678 1.3780638333 43.4213887333 31.5089821553 0.180563857 3.4221209064 2.0382031711 "Poa angustifolia"
"63" "SALPRA" "Cb" 1 14.69 0.09 4 "Chorthippus biguttulus" 17.2608185963 2.63923645 43.96353975 16.6576737564 0.32946558 51.1639375 2.9788177512 "Salvia  pratensis"
"64" "SALPRA" "Pg" 22.5 11.38 0.05 4.3 "Pezotettix giornae " 17.2608185963 2.63923645 43.96353975 16.6576737564 0.32946558 51.1639375 2.9788177512 "Salvia  pratensis"
"65" "SALPRA" "Ee" 2.5 14.37 0.11 4.04 "Euchorthippus elegantulus" 17.2608185963 2.63923645 43.96353975 16.6576737564 0.32946558 51.1639375 2.9788177512 "Salvia  pratensis"
"66" "SALPRA" "Cd" 7.5 15.76 0.1 4.13 "Chorthippus dorsatus" 17.2608185963 2.63923645 43.96353975 16.6576737564 0.32946558 51.1639375 2.9788177512 "Salvia  pratensis"
"67" "SALPRA" "Pp" 14 14.51 0.08 3.82 "Pseudochorthippus parallelus" 17.2608185963 2.63923645 43.96353975 16.6576737564 0.32946558 51.1639375 2.9788177512 "Salvia  pratensis"
"68" "TAROFF" "Pp" 11 14.51 0.08 3.82 "Pseudochorthippus parallelus" 14.1447112717 3.0152452167 43.3170928 14.3660265376 0.2281666662 41.301405797 2.7470338862 "Tarxacum  officinalis"
"69" "TRIPRA" "Cb" 28.3333333333 14.69 0.09 4 "Chorthippus biguttulus" 22.5610210017 4.0534365458 46.0607851146 11.3633911852 0.1677411192 12.5723025862 6.8164588201 "Trifolium  pratense"
"70" "TRIPRA" "Ee" 0 14.37 0.11 4.04 "Euchorthippus elegantulus" 22.5610210017 4.0534365458 46.0607851146 11.3633911852 0.1677411192 12.5723025862 6.8164588201 "Trifolium  pratense"
"71" "TRIPRA" "Pg" 21.6666666667 11.38 0.05 4.3 "Pezotettix giornae " 22.5610210017 4.0534365458 46.0607851146 11.3633911852 0.1677411192 12.5723025862 6.8164588201 "Trifolium  pratense"
